height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,short_pos,fee,window,league,season
182,60,France,73,79,Left,1,3,2,2023.0,73,49,58,74,39,72,68,49,65,71,83,84,69,65,69,56,60,76,70,52,74,66,64,64,53,63,75,70,68,14,14,7,11,8,24.0,Left-Back,LB,5400000.0,summer,Serie A,2021
188,91,Germany,73,79,Right,1,4,3,2021.0,61,52,70,77,47,70,64,75,68,74,54,59,55,74,61,88,62,87,90,69,82,66,66,73,36,63,20,73,65,5,10,5,12,13,24.0,Central Midfield,CM,4500000.0,summer,Ger Bundesliga,2021
178,69,Bulgaria,73,79,Right,1,4,3,2023.0,68,75,48,69,71,73,70,72,62,72,85,85,74,66,74,81,79,68,57,73,58,23,71,70,52,72,74,31,28,10,12,10,5,13,24.0,Right Winger,RW,4500000.0,summer,Serie A,2021
180,74,Italy,73,78,Left,1,3,3,2021.0,72,30,63,68,39,68,54,39,61,70,71,71,68,70,71,57,73,72,61,40,72,70,53,44,47,69,66,74,72,5,5,5,5,5,26.0,Left-Back,LB,1000000.0,summer,Serie A,2021
181,69,Sweden,73,78,Right,1,3,4,,65,63,52,77,51,75,71,66,70,77,77,75,88,72,70,64,72,78,54,62,69,63,68,79,46,78,71,58,56,10,6,9,11,7,26.0,Central Midfield,CM,4000000.0,summer,Jupiler Pro League,2021
186,81,England,73,78,Right,1,3,3,2023.0,48,73,69,66,66,71,42,37,46,71,83,85,78,69,63,75,83,75,81,67,52,29,73,55,62,70,71,29,19,8,15,10,6,13,25.0,Centre-Forward,CF,12000000.0,summer,Super League 1,2021
180,75,Turkey,73,78,Right,1,3,3,2021.0,58,62,62,76,59,72,61,42,70,68,74,69,69,69,70,77,66,63,74,65,75,75,63,60,50,70,73,72,77,8,10,10,15,12,25.0,Central Midfield,CM,4200000.0,summer,Super Lig,2021
178,72,Netherlands,73,78,Left,1,3,3,2021.0,67,46,63,75,48,72,59,65,70,73,69,73,70,71,72,64,66,79,70,60,70,73,62,69,40,73,70,69,67,7,12,13,7,12,24.0,Left-Back,LB,2000000.0,summer,Eredivisie,2021
177,70,Austria,73,77,Left,1,3,3,2021.0,67,67,52,75,58,81,66,59,68,79,64,51,84,64,78,64,69,73,65,65,60,35,67,74,64,68,66,33,39,15,7,14,11,14,26.0,Attacking Midfield,AM,1000000.0,summer,Ger Bundesliga,2021
194,84,Germany,73,77,Right,1,3,3,2021.0,40,73,77,67,76,71,65,29,44,70,68,74,65,74,63,76,70,74,76,65,81,29,76,57,65,66,71,39,20,12,11,7,11,14,26.0,Centre-Forward,CF,3500000.0,summer,Ger Bundesliga,2021
