height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
168,65,Ivory Coast,82,83,Right,2,4,3,2022,27,Defensive Midfield,DM,1500000,summer,Super Lig,2019,72,69,60,86,47,78,79,81,84,84,78,74,81,77,88,78,74,79,69,76,73,77,77,84,67,83,74,75,69,14,13,9,10,12
186,75,France,82,82,Right,3,3,2,2020,33,Centre-Back,CB,5000000,summer,Ligue 1,2019,52,32,80,76,35,62,22,49,69,66,64,66,65,78,61,54,79,65,76,47,86,84,41,56,51,75,80,84,83,13,11,9,11,7
189,84,Argentina,81,86,Right,3,3,1,2022,27,Goalkeeper,GK,1500000,summer,Ligue 1,2019,12,15,12,32,16,14,19,20,23,15,54,48,58,76,50,24,68,42,73,17,26,21,12,58,24,61,15,13,17,83,78,74,79,84
195,94,France,81,85,Right,2,3,1,2019,26,Goalkeeper,GK,2000000,summer,Laliga,2019,20,19,14,41,16,12,16,16,32,22,54,52,53,77,58,25,59,28,80,14,26,23,17,34,25,64,11,18,12,83,78,70,77,84
186,78,France,81,84,Left,2,3,1,2021,28,Goalkeeper,GK,13500000,summer,Ligue 1,2019,13,11,10,17,10,11,20,19,21,23,44,40,36,78,25,18,62,34,55,10,23,24,10,41,20,63,17,11,12,81,76,79,81,82
185,83,Netherlands,81,83,Right,3,3,1,2021,30,Goalkeeper,GK,35000000,summer,Laliga,2019,17,10,12,47,19,12,10,10,33,32,54,50,48,77,50,35,71,40,67,15,25,25,11,60,21,61,18,12,11,79,83,74,81,77
174,69,Belgium,81,83,Right,2,3,4,2019,26,Left Winger,LW,25500000,summer,Ger Bundesliga,2019,77,68,38,81,80,85,83,79,72,83,86,77,91,80,83,78,63,77,62,77,57,41,80,80,83,76,30,47,35,6,9,7,7,8
194,81,England,81,82,Right,3,3,2,2019,29,Centre-Back,CB,3000000,summer,Serie A,2019,52,54,82,63,49,59,49,22,63,58,61,74,55,75,45,42,76,71,87,35,83,81,48,49,52,67,81,82,80,10,15,16,15,15
186,86,Ghana,81,81,Right,3,4,4,2021,32,Attacking Midfield,AM,1500000,summer,Serie A,2019,75,77,74,82,83,79,81,71,78,84,67,65,77,79,68,84,76,68,78,78,83,71,79,76,67,82,59,78,74,6,11,15,16,6
187,80,Russia,81,81,Right,1,4,4,2022,29,Centre-Forward,CF,3000000,winter,Laliga,2019,56,86,70,77,79,77,78,69,62,78,89,85,75,74,66,80,67,74,75,81,67,32,84,75,74,73,26,28,24,16,9,16,15,10
171,61,Italy,81,81,Left,2,5,4,2023,27,Attacking Midfield,AM,2700000,summer,Serie A,2019,82,67,42,82,74,84,84,84,76,86,88,86,92,78,90,81,51,75,48,77,48,36,76,82,68,78,55,48,60,12,10,7,15,9
170,68,France,81,81,Right,2,5,4,2021,29,Centre-Forward,CF,40000000,summer,Ligue 1,2019,73,83,74,75,76,84,80,76,66,83,87,83,91,80,87,76,86,69,57,69,55,44,87,76,70,84,34,33,26,6,13,9,7,7
188,89,Netherlands,80,91,Right,2,4,2,2021,19,Centre-Back,CB,85500000,summer,Serie A,2019,57,53,80,75,40,64,48,55,72,70,62,72,56,75,59,79,80,74,87,61,78,78,44,63,40,74,81,82,77,12,11,11,12,10
187,80,Italy,80,86,Right,2,3,2,2023,25,Centre-Back,CB,2000000,winter,Serie A,2019,34,36,82,63,51,62,20,24,58,63,65,69,58,77,59,38,76,67,79,20,76,82,34,32,30,74,85,84,80,14,9,6,9,5
186,72,Germany,80,86,Right,3,3,3,2021,24,Defensive Midfield,DM,20000000,winter,Liga Portugal,2019,58,41,63,85,56,74,63,46,81,80,72,64,77,83,65,48,67,81,63,52,64,86,56,77,50,80,76,78,75,6,14,16,11,7
175,70,Argentina,80,86,Left,1,3,3,2021,23,Attacking Midfield,AM,22000000,summer,Laliga,2019,75,73,59,81,69,81,82,72,80,82,72,75,81,77,81,79,64,80,67,75,65,65,78,81,60,79,61,67,67,10,7,10,15,14
175,70,Argentina,80,86,Left,1,3,3,2021,23,Attacking Midfield,AM,14000000,summer,Ligue 1,2019,75,73,59,81,69,81,82,72,80,82,72,75,81,77,81,79,64,80,67,75,65,65,78,81,60,79,61,67,67,10,7,10,15,14
175,70,Argentina,80,86,Left,1,3,3,2021,23,Attacking Midfield,AM,16000000,summer,Premier League,2019,75,73,59,81,69,81,82,72,80,82,72,75,81,77,81,79,64,80,67,75,65,65,78,81,60,79,61,67,67,10,7,10,15,14
186,76,France,80,86,Right,1,3,3,2021,23,Centre-Back,CB,35000000,summer,Ger Bundesliga,2019,66,37,73,78,57,66,58,51,80,77,69,73,68,77,66,60,86,77,74,48,72,84,54,66,51,80,83,80,81,9,7,15,7,15
184,82,Germany,80,85,Right,2,4,3,2022,26,Defensive Midfield,DM,1000000,winter,Ger Bundesliga,2019,70,60,70,81,61,76,68,65,80,80,69,73,73,78,71,81,76,85,83,75,83,80,73,79,60,74,81,81,80,14,8,8,13,11
182,72,Germany,80,84,Left,2,4,4,2022,25,Central Midfield,CM,32000000,summer,Ger Bundesliga,2019,72,72,46,82,59,82,85,80,80,84,67,67,77,81,77,75,72,74,67,75,69,57,78,81,70,77,65,59,53,14,15,11,14,14
171,67,Italy,80,83,Left,2,4,3,2019,25,Right Winger,RW,21100000,summer,Serie A,2019,78,72,40,76,67,83,70,75,66,81,85,84,90,78,82,78,50,65,38,82,60,25,77,75,70,70,49,12,12,11,12,6,8,11
171,67,Italy,80,83,Left,2,4,3,2019,26,Right Winger,RW,2500000,winter,Serie A,2019,78,72,40,76,67,83,70,75,66,81,85,84,90,78,82,78,50,65,38,82,60,25,77,75,70,70,49,12,12,11,12,6,8,11
171,67,Italy,80,83,Left,2,4,3,2019,25,Right Winger,RW,15000000,summer,Serie A,2019,78,72,40,76,67,83,70,75,66,81,85,84,90,78,82,78,50,65,38,82,60,25,77,75,70,70,49,12,12,11,12,6,8,11
194,85,Germany,80,82,Right,2,3,3,2020,28,Centre-Back,CB,2500000,winter,Ger Bundesliga,2019,60,50,78,78,51,67,50,62,83,71,66,84,59,77,47,78,54,74,85,57,81,82,55,67,53,78,81,81,78,6,13,8,7,14
182,81,France,80,82,Right,2,4,3,2022,27,Right-Back,RB,2500000,summer,Premier League,2019,80,62,72,79,42,77,77,73,73,78,78,80,70,76,69,69,83,91,75,68,76,77,75,69,43,75,75,78,79,10,16,9,12,7
189,86,Germany,80,81,Right,2,4,1,2020,29,Goalkeeper,GK,7000000,summer,Ger Bundesliga,2019,13,13,11,25,12,10,14,12,12,24,45,52,42,80,37,22,75,45,73,13,30,22,12,46,17,62,15,14,10,79,74,77,82,83
189,86,Germany,80,81,Right,2,4,1,2020,28,Goalkeeper,GK,8500000,summer,Ligue 1,2019,13,13,11,25,12,10,14,12,12,24,45,52,42,80,37,22,75,45,73,13,30,22,12,46,17,62,15,14,10,79,74,77,82,83
182,74,Serbia,80,81,Right,2,4,4,2020,27,Attacking Midfield,AM,6500000,summer,Super Lig,2019,72,69,48,78,74,87,80,83,71,86,82,76,81,74,79,76,63,60,58,78,44,32,75,78,75,75,39,35,35,6,14,7,6,12
183,78,Turkey,80,81,Right,2,4,3,2022,28,Centre-Forward,CF,3000000,winter,Premier League,2019,64,81,84,72,76,77,72,73,60,78,72,75,73,80,66,83,80,73,74,75,75,31,81,61,82,77,33,34,15,12,14,12,12,9
185,72,Germany,80,81,Left,1,3,3,2022,28,Centre-Forward,CF,1500000,winter,Ger Bundesliga,2019,67,85,69,72,74,78,60,57,68,78,77,76,74,85,67,85,77,69,67,84,61,39,83,71,72,76,28,28,25,9,11,8,9,11
175,65,England,80,80,Right,2,3,4,2019,34,Left-Back,LB,1700000,winter,Serie A,2019,88,64,57,79,71,77,86,75,70,79,77,73,77,80,76,75,55,75,66,69,75,78,67,76,60,74,75,76,74,16,10,15,16,15
187,92,England,80,80,Right,2,3,1,2020,33,Goalkeeper,GK,8800000,summer,Premier League,2019,17,12,16,32,12,17,15,13,37,28,56,55,54,73,52,14,73,40,66,12,31,24,12,46,24,62,16,15,13,80,80,75,80,82
174,76,England,80,80,Left,3,3,3,2021,29,Left-Back,LB,2000000,winter,Premier League,2019,81,57,62,76,64,79,64,57,66,76,76,76,69,82,76,68,75,75,72,67,87,81,68,73,57,75,76,83,84,10,11,8,13,13
173,72,England,66,69,Right,1,3,2,2021,29,Left-Back,LB,2000000,winter,Premier League,2019,47,65,66,58,66,63,54,39,49,60,77,80,86,62,81,64,91,76,66,61,71,41,64,57,59,60,46,25,32,15,13,8,16,8
174,78,England,80,80,Left,2,3,3,2020,29,Central Midfield,CM,9500000,summer,Premier League,2019,74,64,60,82,59,77,72,53,76,82,75,72,87,81,86,82,67,87,65,75,84,80,72,73,65,76,77,81,79,10,9,14,11,6
177,74,Algeria,80,80,Left,2,4,4,2021,29,Attacking Midfield,AM,1200000,summer,Laliga,2019,82,77,45,81,73,81,83,82,76,80,75,73,78,74,78,78,61,68,61,76,58,32,75,85,90,79,55,35,30,10,12,16,10,14
177,74,Algeria,80,80,Left,2,4,4,2021,29,Attacking Midfield,AM,3500000,summer,Ligue 1,2019,82,77,45,81,73,81,83,82,76,80,75,73,78,74,78,78,61,68,61,76,58,32,75,85,90,79,55,35,30,10,12,16,10,14
176,72,Belgium,79,89,Right,2,5,4,2022,22,Central Midfield,CM,20000000,summer,Ligue 1,2019,76,73,57,80,78,76,84,74,80,81,52,53,67,75,76,88,65,73,71,88,70,71,74,83,76,81,66,72,69,6,8,10,14,12
176,72,Belgium,79,89,Right,2,5,4,2022,22,Central Midfield,CM,45000000,summer,Premier League,2019,76,73,57,80,78,76,84,74,80,81,52,53,67,75,76,88,65,73,71,88,70,71,74,83,76,81,66,72,69,6,8,10,14,12
177,69,United States,79,88,Right,3,4,4,2020,20,Right Winger,RW,25000000,summer,Premier League,2019,69,69,46,77,70,87,69,58,56,82,93,90,87,79,90,79,84,74,52,58,45,32,73,77,61,67,38,30,41,8,12,13,16,14
185,83,France,79,85,Right,2,3,3,2022,22,Defensive Midfield,DM,25000000,winter,Ger Bundesliga,2019,60,42,75,76,43,69,36,45,69,73,71,72,64,76,68,78,81,85,84,64,86,82,62,67,48,71,77,82,76,11,15,16,10,15
185,83,France,79,85,Right,2,3,3,2022,22,Defensive Midfield,DM,7000000,winter,Ligue 1,2019,60,42,75,76,43,69,36,45,69,73,71,72,64,76,68,78,81,85,84,64,86,82,62,67,48,71,77,82,76,11,15,16,10,15
187,78,Algeria,79,84,Left,2,2,4,2021,25,Central Midfield,CM,1000000,winter,Premier League,2019,65,62,51,83,67,83,69,62,76,81,66,64,75,76,71,83,53,75,72,79,74,78,68,82,81,79,65,71,60,9,10,16,9,15
186,83,Ivory Coast,79,84,Right,1,3,3,2022,23,Defensive Midfield,DM,25000000,summer,Premier League,2019,69,40,71,78,45,74,62,60,74,76,75,79,68,76,66,78,77,83,83,66,85,79,63,72,40,72,79,80,71,11,13,8,14,10
183,79,Germany,79,84,Right,2,4,4,2022,25,Second Striker,SS,20000000,summer,Premier Liga,2019,66,81,54,78,79,85,68,65,62,82,82,80,83,79,75,82,59,68,68,77,55,39,81,75,75,67,39,48,39,8,12,10,10,9
189,87,Germany,79,83,Right,2,3,1,2021,26,Goalkeeper,GK,1200000,summer,Premier League,2019,14,18,14,38,14,16,12,14,41,23,55,54,51,75,43,20,74,36,64,16,21,13,8,50,19,60,9,11,13,82,74,78,76,82
193,87,Austria,79,82,Left,2,3,4,2022,25,Centre-Forward,CF,8000000,winter,Ger Bundesliga,2019,65,80,71,77,70,75,83,78,69,78,65,68,67,78,52,84,50,69,79,81,58,33,78,73,64,65,36,40,38,10,6,9,16,6
170,62,Germany,79,82,Right,2,4,4,2023,25,Attacking Midfield,AM,2800000,summer,Ger Bundesliga,2019,73,65,45,79,66,84,77,70,72,80,90,79,92,76,90,70,72,78,48,62,72,52,70,75,61,72,56,55,55,15,11,6,14,16
182,70,Italy,79,81,Right,2,3,3,2021,27,Right Midfield,RM,7000000,summer,Serie A,2019,81,59,69,74,69,76,74,59,68,74,74,79,72,76,73,75,67,87,68,72,75,76,71,64,59,73,76,78,79,11,9,8,6,11
173,72,Australia,79,80,Right,1,3,3,2020,29,Central Midfield,CM,3300000,winter,Premier League,2019,73,69,50,82,65,74,73,72,80,80,64,62,69,74,74,71,70,77,74,75,75,71,74,81,73,78,72,74,66,11,8,12,11,12
170,68,Germany,79,80,Right,1,4,3,2021,28,Defensive Midfield,DM,10250000,winter,Serie A,2019,71,26,57,82,48,73,65,62,79,77,68,53,88,76,85,64,79,93,67,30,82,79,67,70,58,74,74,77,73,14,10,14,12,9
184,82,Italy,79,79,Right,2,2,2,2023,33,Centre-Back,CB,100,winter,Serie A,2019,60,23,76,66,52,54,47,35,68,62,58,55,60,79,56,63,79,63,75,41,76,84,30,36,31,74,78,83,80,14,7,12,12,12
190,81,Greece,79,79,Right,2,3,1,2021,33,Goalkeeper,GK,1500000,summer,Serie A,2019,19,16,24,22,14,15,11,11,36,23,44,34,45,75,49,22,64,33,66,18,18,23,10,47,21,60,20,15,24,80,78,72,77,81
186,78,Italy,78,86,Right,2,3,3,2019,24,Defensive Midfield,DM,22000000,summer,Serie A,2019,68,68,70,83,67,78,65,64,78,81,63,58,64,74,54,74,58,71,70,74,64,66,76,76,58,70,70,69,66,3,5,3,3,5
186,78,Italy,78,86,Right,2,3,3,2019,24,Defensive Midfield,DM,20000000,summer,Serie A,2019,68,68,70,83,67,78,65,64,78,81,63,58,64,74,54,74,58,71,70,74,64,66,76,76,58,70,70,69,66,3,5,3,3,5
186,79,France,78,86,Left,1,3,3,2023,23,Centre-Back,CB,32000000,summer,Ligue 1,2019,66,38,81,74,37,70,46,32,78,73,68,77,74,77,67,42,83,76,78,24,76,77,56,68,41,80,74,80,78,12,7,7,7,8
173,67,France,78,85,Right,2,4,4,2020,22,Left Winger,LW,18000000,summer,Premier League,2019,66,70,53,72,59,85,70,46,68,81,91,91,93,78,87,80,68,72,62,70,36,15,74,68,47,70,26,16,22,10,9,12,7,7
180,73,Germany,78,85,Right,1,3,4,2020,22,Central Midfield,CM,9000000,summer,Ger Bundesliga,2019,73,65,43,79,65,85,76,71,73,81,77,68,83,75,76,70,66,77,66,70,48,62,69,78,65,69,53,57,46,12,12,14,12,10
189,88,Belgium,78,84,Right,2,4,2,2019,24,Defensive Midfield,DM,15000000,summer,Jupiler Pro League,2019,75,66,78,78,71,68,72,71,78,73,61,68,57,73,53,86,66,91,87,76,73,78,71,76,44,74,76,78,76,14,8,14,14,6
189,88,Belgium,78,84,Right,2,4,2,2019,24,Defensive Midfield,DM,13800000,summer,Premier League,2019,75,66,78,78,71,68,72,71,78,73,61,68,57,73,53,86,66,91,87,76,73,78,71,76,44,74,76,78,76,14,8,14,14,6
170,64,Slovakia,78,84,Right,1,4,4,2023,25,Defensive Midfield,DM,21000000,winter,Serie A,2019,63,59,41,84,43,77,68,55,76,82,70,63,78,74,84,62,82,86,52,65,57,72,65,76,56,74,65,74,65,10,7,16,13,14
173,70,France,78,84,Right,2,4,3,2022,24,Central Midfield,CM,13000000,summer,Ligue 1,2019,62,70,41,81,75,79,76,64,79,81,69,55,78,72,90,74,73,71,55,79,51,72,74,77,65,77,75,84,70,11,8,12,7,11
176,67,France,78,83,Right,1,3,4,2021,26,Central Midfield,CM,1000000,summer,Serie A,2019,74,66,54,82,68,76,70,76,76,79,72,66,76,78,76,76,69,79,68,74,72,76,72,76,74,78,69,76,72,9,10,11,8,9
190,91,France,78,83,Right,1,2,3,2021,25,Centre-Forward,CF,50000000,summer,Premier League,2019,40,79,75,67,79,72,52,46,35,79,68,77,66,77,53,77,80,72,91,64,41,30,79,70,88,67,32,46,37,6,7,14,7,6
184,85,Gabon,78,83,Right,2,3,3,2022,26,Defensive Midfield,DM,1000000,summer,Super Lig,2019,72,55,68,82,68,81,72,68,77,82,76,77,71,73,74,83,46,75,73,78,70,72,68,74,68,70,70,73,66,12,9,15,8,16
176,79,Zimbabwe,78,83,Left,1,2,3,2022,25,Defensive Midfield,DM,12000000,summer,Premier League,2019,46,36,55,73,41,71,45,37,73,73,78,75,78,76,78,80,78,90,80,54,86,78,55,68,38,71,80,80,78,9,15,10,15,8
192,87,Italy,78,81,Right,2,2,1,2019,27,Goalkeeper,GK,1500000,summer,Serie A,2019,13,18,18,32,12,19,14,21,19,22,48,38,55,74,58,19,68,37,66,17,23,29,18,44,21,59,26,17,13,80,76,68,77,81
180,78,Germany,78,80,Left,1,2,3,2020,26,Left-Back,LB,25500000,summer,Ger Bundesliga,2019,80,48,54,77,49,79,59,42,70,76,88,87,76,76,73,63,60,76,73,40,68,73,72,67,56,73,72,75,75,13,9,15,7,14
184,73,Italy,78,80,Right,2,4,4,2019,27,Attacking Midfield,AM,2000000,summer,Serie A,2019,74,64,58,80,64,83,80,70,74,85,69,75,72,68,71,72,64,70,69,66,52,30,78,80,68,76,61,34,30,5,3,5,5,3
184,73,Italy,78,80,Right,2,4,4,2019,28,Attacking Midfield,AM,2000000,winter,Serie A,2019,74,64,58,80,64,83,80,70,74,85,69,75,72,68,71,72,64,70,69,66,52,30,78,80,68,76,61,34,30,5,3,5,5,3
188,86,Netherlands,78,79,Right,2,3,2,2021,28,Centre-Forward,CF,12500000,summer,Laliga,2019,66,77,92,75,79,65,63,65,61,74,51,55,58,80,55,82,81,75,82,69,49,25,82,68,60,75,42,40,37,16,10,8,8,11
186,85,Poland,78,79,Right,3,3,3,2021,29,Defensive Midfield,DM,5000000,summer,Ligue 1,2019,59,42,75,79,40,63,52,62,80,77,61,68,59,74,52,81,74,75,83,69,80,76,52,68,78,80,72,77,71,15,14,8,6,7
186,85,Poland,78,79,Right,3,3,3,2021,29,Defensive Midfield,DM,12000000,summer,Premier Liga,2019,59,42,75,79,40,63,52,62,80,77,61,68,59,74,52,81,74,75,83,69,80,76,52,68,78,80,72,77,71,15,14,8,6,7
189,83,Germany,78,79,Right,1,4,3,2020,26,Centre-Forward,CF,6500000,summer,Ger Bundesliga,2019,63,81,79,66,71,72,69,69,48,76,67,67,66,75,52,79,69,73,84,72,67,24,80,61,77,72,47,30,17,15,9,10,13,9
174,72,Argentina,78,78,Right,2,4,4,2019,30,Centre-Back,CB,1500000,winter,Liga Portugal,2019,66,77,76,75,74,76,76,73,68,80,77,83,84,74,80,77,84,77,75,75,57,59,80,71,79,79,25,55,24,8,10,11,13,6
177,75,Nigeria,78,78,Right,2,4,4,2021,29,Right Midfield,RM,2000000,winter,Premier League,2019,76,69,70,76,64,82,75,61,70,81,79,77,76,76,82,74,66,85,69,69,62,73,76,72,75,75,74,74,71,9,7,8,16,16
177,75,Nigeria,78,78,Right,2,4,4,2021,29,Right Midfield,RM,2000000,winter,Serie A,2019,76,69,70,76,64,82,75,61,70,81,79,77,76,76,82,74,66,85,69,69,62,73,76,72,75,75,74,74,71,9,7,8,16,16
188,86,Greece,78,78,Left,3,3,3,2021,31,Centre-Forward,CF,1250000,summer,Eredivisie,2019,60,78,81,66,76,72,72,71,59,74,53,62,50,74,34,83,76,63,86,75,75,10,78,68,61,83,13,18,10,12,7,10,8,16
180,72,Republic of Ireland,78,78,Right,2,4,3,2020,28,Central Midfield,CM,3300000,summer,Premier League,2019,68,55,63,80,61,75,64,64,78,74,60,58,64,73,70,67,65,72,71,64,82,79,63,73,60,74,77,76,75,12,11,8,10,13
184,73,Germany,78,78,Right,3,4,3,2020,28,Left Winger,LW,1000000,summer,Premier Liga,2019,77,78,63,75,81,79,80,70,58,77,79,78,73,79,74,82,69,76,67,81,71,44,79,76,77,75,47,40,60,7,11,12,9,12
182,76,Italy,78,78,Right,2,4,4,2019,28,Attacking Midfield,AM,1800000,summer,Laliga,2019,77,75,65,80,73,79,80,56,78,80,75,75,79,73,72,80,66,65,69,80,74,69,74,78,62,75,67,69,67,15,10,9,14,13
182,76,Italy,78,78,Right,2,4,4,2019,28,Attacking Midfield,AM,8000000,summer,Serie A,2019,77,75,65,80,73,79,80,56,78,80,75,75,79,73,72,80,66,65,69,80,74,69,74,78,62,75,67,69,67,15,10,9,14,13
171,71,France,78,78,Right,2,4,4,2022,29,Attacking Midfield,AM,12000000,summer,Premier Liga,2019,73,70,58,79,70,82,75,78,74,80,83,77,91,72,80,73,41,73,50,73,47,56,69,74,72,72,31,34,32,12,16,12,13,7
176,77,Israel,78,78,Right,2,4,3,2020,31,Central Midfield,CM,1000000,summer,Super Liga Srbije,2019,76,70,57,80,65,73,75,76,81,81,57,66,76,78,79,73,54,66,70,74,71,72,68,80,84,84,70,72,64,14,13,12,15,16
187,85,Belgium,78,78,Right,2,4,4,2020,30,Left Winger,LW,1000000,summer,Jupiler Pro League,2019,74,73,67,77,73,82,77,78,68,80,74,78,65,75,54,81,71,75,83,75,59,43,77,75,76,79,41,48,44,12,11,12,10,13
178,71,Morocco,78,78,Right,2,4,3,2021,31,Central Midfield,CM,1500000,summer,Laliga,2019,77,72,49,80,62,76,81,77,79,79,67,61,74,74,71,74,37,66,67,78,70,76,69,79,72,63,70,77,78,15,12,14,15,6
188,83,Algeria,78,78,Right,3,3,2,2019,31,Centre-Forward,CF,1500000,summer,Ligue 1,2019,58,77,85,72,76,70,73,47,61,71,53,58,58,80,55,78,82,72,82,71,86,50,82,72,74,76,36,48,24,10,9,6,15,11
188,83,Algeria,78,78,Right,3,3,2,2019,31,Centre-Forward,CF,1500000,summer,Premier League,2019,58,77,85,72,76,70,73,47,61,71,53,58,58,80,55,78,82,72,82,71,86,50,82,72,74,76,36,48,24,10,9,6,15,11
193,82,France,77,89,Right,2,3,1,2023,20,Goalkeeper,GK,13000000,summer,Ligue 1,2019,13,6,13,52,9,14,13,12,38,10,48,45,55,64,53,23,73,40,70,9,20,17,4,45,16,59,20,14,12,78,77,71,76,79
183,78,Italy,77,89,Right,1,3,4,2023,21,Centre-Forward,CF,18000000,summer,Premier League,2019,48,80,76,70,72,74,68,42,34,76,75,77,69,74,76,74,75,72,74,62,60,14,80,56,68,72,36,20,18,10,7,7,10,5
183,78,Italy,77,89,Right,1,3,4,2023,22,Centre-Forward,CF,3000000,winter,Serie A,2019,48,80,76,70,72,74,68,42,34,76,75,77,69,74,76,74,75,72,74,62,60,14,80,56,68,72,36,20,18,10,7,7,10,5
