height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
181,67,Ukraine,61,75,Right,1,2,2,2019,21,Centre-Back,CB,20000000,winter,Premier Liga Ukr,2017,31,28,64,60,37,36,37,23,40,47,71,74,60,53,69,73,72,70,71,44,53,59,33,39,35,41,57,60,60,10,10,5,9,11
181,67,Ukraine,61,75,Right,1,2,2,2019,21,Centre-Back,CB,20000000,summer,Premier Liga Ukr,2017,31,28,64,60,37,36,37,23,40,47,71,74,60,53,69,73,72,70,71,44,53,59,33,39,35,41,57,60,60,10,10,5,9,11
187,85,Italy,61,74,Left,1,3,2,2018,19,Left-Back,LB,4500000,summer,Serie A,2017,63,33,56,55,28,65,42,37,45,67,60,55,57,58,65,34,55,55,59,30,60,63,57,37,45,39,58,63,64,11,14,6,7,13
189,77,Poland,61,73,Right,1,3,2,2020,21,Centre-Back,CB,6000000,summer,Premier League,2017,29,19,56,41,20,40,23,26,38,46,65,73,59,56,65,25,74,56,70,23,56,61,26,31,32,43,60,65,62,11,13,16,7,9
172,56,France,61,73,Left,1,2,3,2017,21,Right Winger,RW,5000000,summer,Ligue 1,2017,54,53,44,67,51,63,56,47,60,62,72,74,90,53,88,63,49,50,37,51,50,30,50,54,54,57,37,41,42,7,10,9,13,12
194,90,Serbia,61,72,Right,1,2,1,2017,21,Goalkeeper,GK,1500000,summer,Serie A,2017,15,19,15,31,13,17,13,14,25,21,42,41,35,54,41,24,55,26,62,15,24,22,13,23,22,32,14,13,14,64,60,55,57,62
175,70,Republic of Ireland,61,71,Right,1,3,2,2017,21,Central Midfield,CM,13000000,winter,Premier League,2017,50,42,50,65,48,66,55,49,59,63,76,69,66,61,78,52,58,69,56,46,76,50,55,61,58,59,52,58,60,9,12,15,11,9
197,89,Finland,61,69,Left,1,3,1,2017,24,Goalkeeper,GK,1000000,summer,Superliga,2017,13,12,16,21,11,15,13,14,14,17,50,30,28,54,29,12,38,26,46,11,36,22,13,27,21,25,11,13,12,63,60,55,60,59
189,79,Italy,61,69,Right,1,2,2,2023,23,Centre-Back,CB,2000000,summer,Serie A,2017,12,12,50,42,17,42,13,17,31,49,55,64,34,48,48,23,75,58,81,11,65,48,12,15,19,41,61,65,63,9,14,8,6,11
188,77,Italy,61,68,Right,1,2,2,2021,23,Central Midfield,CM,4000000,summer,Serie A,2017,34,43,44,64,33,65,33,39,61,67,64,65,57,54,60,54,55,65,55,58,55,56,58,50,41,43,36,54,44,12,6,8,7,9
