club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
Hamburger SV,Rick van Drongelen,18.0,Netherlands,Centre-Back,CB,,Sparta R.,Netherlands,3000000.0,in,summer,1 Bundesliga,2017,False,,rick van drongelen
Hannover 96,Jonathas,28.0,Brazil,Centre-Forward,CF,,Rubin Kazan,Russia,9000000.0,in,summer,1 Bundesliga,2017,False,,jonathas
Hannover 96,Ihlas Bebou,23.0,Togo,Centre-Forward,CF,7000000.0,F. Düsseldorf,Germany,4500000.0,in,summer,1 Bundesliga,2017,False,,ihlas bebou
Hannover 96,Julian Korb,25.0,Germany,Right-Back,RB,,Bor. M'gladbach,Germany,3000000.0,in,summer,1 Bundesliga,2017,False,,julian korb
Hannover 96,Michael Esser,29.0,Germany,Goalkeeper,GK,,Darmstadt 98,Germany,2000000.0,in,summer,1 Bundesliga,2017,False,,michael esser
Hertha BSC,Davie Selke,22.0,Germany,Centre-Forward,CF,3500000.0,RB Leipzig,Germany,8000000.0,in,summer,1 Bundesliga,2017,False,,davie selke
Hertha BSC,Mathew Leckie,26.0,Australia,Left Winger,LW,,FC Ingolstadt,Germany,3000000.0,in,summer,1 Bundesliga,2017,False,,mathew leckie
Hertha BSC,Karim Rekik,22.0,Netherlands,Centre-Back,CB,4000000.0,Marseille,France,2500000.0,in,summer,1 Bundesliga,2017,False,,karim rekik
RB Leipzig,Kevin Kampl,26.0,Slovenia,Central Midfield,CM,3500000.0,B. Leverkusen,Germany,20000000.0,in,summer,1 Bundesliga,2017,False,,kevin kampl
RB Leipzig,Jean-Kévin Augustin,20.0,France,Centre-Forward,CF,1000000.0,Paris SG,France,16000000.0,in,summer,1 Bundesliga,2017,False,,jean-kevin augustin
RB Leipzig,Bruma,22.0,Portugal,Left Winger,LW,6500000.0,Galatasaray,Turkey,15000000.0,in,summer,1 Bundesliga,2017,False,,bruma
RB Leipzig,Konrad Laimer,20.0,Austria,Central Midfield,CM,28000000.0,RB Salzburg,Austria,7000000.0,in,summer,1 Bundesliga,2017,False,,konrad laimer
RB Leipzig,Yvon Mvogo,23.0,Switzerland,Goalkeeper,GK,3500000.0,BSC Young Boys,Switzerland,5000000.0,in,summer,1 Bundesliga,2017,False,,yvon mvogo
SC Freiburg,Pascal Stenzel,21.0,Germany,Right-Back,RB,2500000.0,Bor. Dortmund,Germany,4000000.0,in,summer,1 Bundesliga,2017,False,,pascal stenzel
SC Freiburg,Robin Koch,21.0,Germany,Centre-Back,CB,18000000.0,1.FC K'lautern,Germany,3500000.0,in,summer,1 Bundesliga,2017,False,,robin koch
SC Freiburg,Yoric Ravet,27.0,France,Right Winger,RW,,BSC Young Boys,Switzerland,3500000.0,in,summer,1 Bundesliga,2017,False,,yoric ravet
SC Freiburg,Marco Terrazzino,26.0,Germany,Second Striker,SS,,TSG Hoffenheim,Germany,2500000.0,in,summer,1 Bundesliga,2017,False,,marco terrazzino
SC Freiburg,Florian Niederlechner,26.0,Germany,Centre-Forward,CF,,1.FSV Mainz 05,Germany,2300000.0,in,summer,1 Bundesliga,2017,False,,florian niederlechner
SC Freiburg,Lucas Höler,23.0,Germany,Centre-Forward,CF,5000000.0,SV Sandhausen,Germany,2000000.0,in,winter,1 Bundesliga,2017,False,,lucas holer
SV Werder Bremen,Ludwig Augustinsson,23.0,Sweden,Left-Back,LB,2500000.0,FC Copenhagen,Denmark,4500000.0,in,summer,1 Bundesliga,2017,False,,ludwig augustinsson
SV Werder Bremen,Jiri Pavlenka,25.0,Czech Republic,Goalkeeper,GK,3000000.0,Slavia Prague,Czech Republic,3000000.0,in,summer,1 Bundesliga,2017,False,,jiri pavlenka
SV Werder Bremen,Jérôme Gondorf,29.0,Germany,Central Midfield,CM,,Darmstadt 98,Germany,1200000.0,in,summer,1 Bundesliga,2017,False,,jerome gondorf
SV Werder Bremen,Milot Rashica,21.0,Kosovo,Right Winger,RW,8500000.0,Vitesse,Netherlands,8100000.0,in,winter,1 Bundesliga,2017,False,,milot rashica
SV Werder Bremen,Sebastian Langkamp,30.0,Germany,Centre-Back,CB,,Hertha BSC,Germany,1000000.0,in,winter,1 Bundesliga,2017,False,,sebastian langkamp
TSG 1899 Hoffenheim,Håvard Nordtveit,27.0,Norway,Centre-Back,CB,,West Ham,England,8000000.0,in,summer,1 Bundesliga,2017,False,,havard nordtveit
TSG 1899 Hoffenheim,Nico Schulz,24.0,Germany,Left-Back,LB,,Bor. M'gladbach,Germany,3000000.0,in,summer,1 Bundesliga,2017,False,,nico schulz
TSG 1899 Hoffenheim,Justin Hoogma,19.0,Netherlands,Centre-Back,CB,1200000.0,Heracles Almelo,Netherlands,2700000.0,in,summer,1 Bundesliga,2017,False,,justin hoogma
VfB Stuttgart,Chadrac Akolo,22.0,DR Congo,Right Winger,RW,,FC Sion,Switzerland,6000000.0,in,summer,1 Bundesliga,2017,False,,chadrac akolo
VfB Stuttgart,Santiago Ascacíbar,20.0,Argentina,Defensive Midfield,DM,5500000.0,Estudiantes LP,Argentina,6000000.0,in,summer,1 Bundesliga,2017,False,,santiago ascacibar
VfB Stuttgart,Anastasios Donis,20.0,Greece,Right Winger,RW,,Juventus,Italy,4000000.0,in,summer,1 Bundesliga,2017,False,,anastasios donis
VfB Stuttgart,Ron-Robert Zieler,28.0,Germany,Goalkeeper,GK,,Leicester,England,4000000.0,in,summer,1 Bundesliga,2017,False,,ron-robert zieler
VfB Stuttgart,Aílton,22.0,Brazil,Left-Back,LB,,Estoril Praia,Portugal,2500000.0,in,summer,1 Bundesliga,2017,False,,ailton
VfB Stuttgart,Andreas Beck,30.0,Germany,Right-Back,RB,,Besiktas,Turkey,2500000.0,in,summer,1 Bundesliga,2017,False,,andreas beck
VfB Stuttgart,Orel Mangala,19.0,Belgium,Central Midfield,CM,20000000.0,Anderlecht U21,Belgium,1800000.0,in,summer,1 Bundesliga,2017,False,,orel mangala
VfB Stuttgart,Mario Gómez,32.0,Germany,Centre-Forward,CF,,VfL Wolfsburg,Germany,3000000.0,in,winter,1 Bundesliga,2017,False,,mario gomez
VfL Wolfsburg,John Anthony Brooks,24.0,United States,Centre-Back,CB,2000000.0,Hertha BSC,Germany,17000000.0,in,summer,1 Bundesliga,2017,False,,john anthony brooks
VfL Wolfsburg,Ignacio Camacho,27.0,Spain,Defensive Midfield,DM,,Málaga CF,Spain,14000000.0,in,summer,1 Bundesliga,2017,False,,ignacio camacho
VfL Wolfsburg,Landry Dimata,19.0,Belgium,Centre-Forward,CF,3300000.0,KV Oostende,Belgium,11500000.0,in,summer,1 Bundesliga,2017,False,,landry dimata
VfL Wolfsburg,William,22.0,Brazil,Right-Back,RB,2000000.0,Internacional,Brazil,5000000.0,in,summer,1 Bundesliga,2017,False,,william
VfL Wolfsburg,Marvin Stefaniak,22.0,Germany,Left Winger,LW,,Dynamo Dresden,Germany,2000000.0,in,summer,1 Bundesliga,2017,False,,marvin stefaniak
VfL Wolfsburg,Paul Verhaegh,33.0,Netherlands,Right-Back,RB,,FC Augsburg,Germany,1500000.0,in,summer,1 Bundesliga,2017,False,,paul verhaegh
VfL Wolfsburg,Kaylen Hinds,19.0,England,Second Striker,SS,,Arsenal U23,England,1500000.0,in,summer,1 Bundesliga,2017,False,,kaylen hinds
VfL Wolfsburg,Felix Uduokhai,19.0,Germany,Centre-Back,CB,7000000.0,1860 Munich,Germany,1000000.0,in,summer,1 Bundesliga,2017,False,,felix uduokhai
VfL Wolfsburg,Admir Mehmedi,26.0,Switzerland,Second Striker,SS,,B. Leverkusen,Germany,8000000.0,in,winter,1 Bundesliga,2017,False,,admir mehmedi
VfL Wolfsburg,Renato Steffen,26.0,Switzerland,Right Winger,RW,1000000.0,FC Basel,Switzerland,1750000.0,in,winter,1 Bundesliga,2017,False,,renato steffen
Malmö FF,Kingsley Sarfo,22.0,Ghana,Central Midfield,CM,,Sirius,Sweden,1450000.0,in,summer,Allsvenskan,2017,False,,kingsley sarfo
Malmö FF,Carlos Strandberg,21.0,Sweden,Right Winger,RW,2300000.0,Club Brugge,Belgium,1000000.0,in,summer,Allsvenskan,2017,False,,carlos strandberg
Rapid Vienna,Veton Berisha,23.0,Norway,Centre-Forward,CF,1500000.0,Greuther Fürth,Germany,1500000.0,in,summer,Bundesliga,2017,False,,veton berisha
Red Bull Salzburg,Marin Pongracic,19.0,Croatia,Centre-Back,CB,4000000.0,1860 Munich,Germany,1000000.0,in,summer,Bundesliga,2017,False,,marin pongracic
AZ Alkmaar,Fredrik Midtsjø,24.0,Norway,Central Midfield,CM,3800000.0,Rosenborg,Norway,2200000.0,in,summer,Eredivisie,2017,False,,fredrik midtsjo
AZ Alkmaar,Oussama Idrissi,21.0,Morocco,Left Winger,LW,5500000.0,FC Groningen,Netherlands,2000000.0,in,winter,Eredivisie,2017,False,,oussama idrissi
AZ Alkmaar,Ondrej Mihalik,20.0,Czech Republic,Centre-Forward,CF,,Jablonec,Czech Republic,1500000.0,in,winter,Eredivisie,2017,False,,ondrej mihalik
Ajax Amsterdam,Maximilian Wöber,19.0,Austria,Centre-Back,CB,14000000.0,Rapid Vienna,Austria,7500000.0,in,summer,Eredivisie,2017,False,,maximilian wober
Ajax Amsterdam,Luis Orejuela,21.0,Colombia,Right-Back,RB,1000000.0,Deportivo Cali,Colombia,3650000.0,in,summer,Eredivisie,2017,False,,luis orejuela
Ajax Amsterdam,Siem de Jong,28.0,Netherlands,Attacking Midfield,AM,,Newcastle,England,2300000.0,in,summer,Eredivisie,2017,False,,siem de jong
Ajax Amsterdam,Rasmus Kristensen,20.0,Denmark,Right-Back,RB,13000000.0,FC Midtjylland,Denmark,5500000.0,in,winter,Eredivisie,2017,False,,rasmus kristensen
Ajax Amsterdam,Nicolás Tagliafico,25.0,Argentina,Left-Back,LB,9000000.0,Independiente,Argentina,4000000.0,in,winter,Eredivisie,2017,False,,nicolas tagliafico
Ajax Amsterdam,Perr Schuurs,18.0,Netherlands,Centre-Back,CB,25000000.0,Fortuna Sittard,Netherlands,2000000.0,in,winter,Eredivisie,2017,False,,perr schuurs
Feyenoord Rotterdam,Steven Berghuis,25.0,Netherlands,Right Winger,RW,9000000.0,Watford,England,6500000.0,in,summer,Eredivisie,2017,False,,steven berghuis
Feyenoord Rotterdam,Ridgeciano Haps,24.0,Suriname,Left-Back,LB,1000000.0,AZ Alkmaar,Netherlands,6000000.0,in,summer,Eredivisie,2017,False,,ridgeciano haps
Feyenoord Rotterdam,Jerry St. Juste,20.0,Netherlands,Centre-Back,CB,10000000.0,Heerenveen,Netherlands,4800000.0,in,summer,Eredivisie,2017,False,,jerry st. juste
Feyenoord Rotterdam,Sam Larsson,24.0,Sweden,Left Winger,LW,1800000.0,Heerenveen,Netherlands,4000000.0,in,summer,Eredivisie,2017,False,,sam larsson
Feyenoord Rotterdam,Sofyan Amrabat,20.0,Morocco,Defensive Midfield,DM,30000000.0,FC Utrecht,Netherlands,4000000.0,in,summer,Eredivisie,2017,False,,sofyan amrabat
Feyenoord Rotterdam,Jean-Paul Boëtius,23.0,Netherlands,Attacking Midfield,AM,1200000.0,FC Basel,Switzerland,1500000.0,in,summer,Eredivisie,2017,False,,jean-paul boetius
PSV Eindhoven,Hirving Lozano,21.0,Mexico,Right Winger,RW,22000000.0,Pachuca,Mexico,12500000.0,in,summer,Eredivisie,2017,False,,hirving lozano
PSV Eindhoven,Derrick Luckassen,22.0,Netherlands,Centre-Back,CB,1200000.0,AZ Alkmaar,Netherlands,5000000.0,in,summer,Eredivisie,2017,False,,derrick luckassen
PSV Eindhoven,Maximiliano Romero,18.0,Argentina,Centre-Forward,CF,2700000.0,Vélez Sarsfield,Argentina,10000000.0,in,winter,Eredivisie,2017,False,,maximiliano romero
SC Heerenveen,Nemanja Mihajlovic,21.0,Serbia,Left Winger,LW,,Partizan,Serbia,1700000.0,in,summer,Eredivisie,2017,False,,nemanja mihajlovic
SC Heerenveen,Ben Rienstra,28.0,Netherlands,Central Midfield,CM,,AZ Alkmaar,Netherlands,1000000.0,in,summer,Eredivisie,2017,False,,ben rienstra
Vitesse Arnhem,Bryan Linssen,26.0,Netherlands,Centre-Forward,CF,1300000.0,FC Groningen,Netherlands,1000000.0,in,summer,Eredivisie,2017,False,,bryan linssen
Vitesse Arnhem,Vyacheslav Karavaev,22.0,Russia,Right-Back,RB,6000000.0,Sparta Prague,Czech Republic,1500000.0,in,winter,Eredivisie,2017,False,,vyacheslav karavaev
Vitesse Arnhem,Roy Beerens,30.0,Netherlands,Right Winger,RW,,Reading,England,1000000.0,in,winter,Eredivisie,2017,False,,roy beerens
Club Brugge KV,Marvelous Nakamba,23.0,Zimbabwe,Defensive Midfield,DM,4000000.0,Vitesse,Netherlands,3000000.0,in,summer,Jupiler Pro League,2017,False,,marvelous nakamba
Club Brugge KV,Jordi Vanlerberghe,21.0,Belgium,Centre-Back,CB,1500000.0,KV Mechelen,Belgium,1900000.0,in,summer,Jupiler Pro League,2017,False,,jordi vanlerberghe
Club Brugge KV,Erhan Masovic,18.0,Serbia,Centre-Back,CB,8000000.0,FK Cukaricki,Serbia,1600000.0,in,summer,Jupiler Pro League,2017,False,,erhan masovic
Club Brugge KV,Saulo Decarli,25.0,Switzerland,Centre-Back,CB,,E. Braunschweig,Germany,1500000.0,in,summer,Jupiler Pro League,2017,False,,saulo decarli
Club Brugge KV,Emmanuel Dennis,19.0,Nigeria,Left Winger,LW,7000000.0,Zorya Lugansk,Ukraine,1400000.0,in,summer,Jupiler Pro League,2017,False,,emmanuel dennis
Club Brugge KV,Jérémy Perbet,32.0,France,Centre-Forward,CF,,KAA Gent,Belgium,1000000.0,in,summer,Jupiler Pro League,2017,False,,jeremy perbet
Club Brugge KV,Krépin Diatta,18.0,Senegal,Right Winger,RW,13000000.0,Sarpsborg 08,Norway,2650000.0,in,winter,Jupiler Pro League,2017,False,,krepin diatta
Club Brugge KV,Ivan Tomecak,28.0,Croatia,Right-Back,RB,,KV Mechelen,Belgium,1500000.0,in,winter,Jupiler Pro League,2017,False,,ivan tomecak
Club Brugge KV,Alexander Scholz,25.0,Denmark,Centre-Back,CB,2200000.0,Standard Liège,Belgium,1500000.0,in,winter,Jupiler Pro League,2017,False,,alexander scholz
KAA Gent,Franko Andrijasevic,26.0,Croatia,Attacking Midfield,AM,,HNK Rijeka,Croatia,4250000.0,in,summer,Jupiler Pro League,2017,False,,franko andrijasevic
KAA Gent,Mamadou Sylla,23.0,Senegal,Centre-Forward,CF,1000000.0,KAS Eupen,Belgium,3850000.0,in,summer,Jupiler Pro League,2017,False,,mamadou sylla
KAA Gent,Damien Marcq,28.0,France,Centre-Back,CB,,RSC Charleroi,Belgium,2500000.0,in,summer,Jupiler Pro League,2017,False,,damien marcq
KAA Gent,Or Inbrum,21.0,Israel,Left Winger,LW,,FC Ashdod,Israel,2000000.0,in,summer,Jupiler Pro League,2017,False,,or inbrum
KAA Gent,Roman Yaremchuk,21.0,Ukraine,Centre-Forward,CF,4000000.0,Dynamo Kyiv,Ukraine,2000000.0,in,summer,Jupiler Pro League,2017,False,,roman yaremchuk
KAA Gent,Giorgi Chakvetadze,18.0,Georgia,Attacking Midfield,AM,2200000.0,Dinamo Tbilisi,Georgia,1500000.0,in,summer,Jupiler Pro League,2017,False,,giorgi chakvetadze
KAA Gent,Dylan Bronn,22.0,Tunisia,Centre-Back,CB,2500000.0,Chamois Niort,France,1000000.0,in,summer,Jupiler Pro League,2017,False,,dylan bronn
KAA Gent,Sigurd Rosted,23.0,Norway,Centre-Back,CB,,Sarpsborg 08,Norway,1300000.0,in,winter,Jupiler Pro League,2017,False,,sigurd rosted
KAS Eupen,Mamadou Sylla,23.0,Senegal,Centre-Forward,CF,1000000.0,Espanyol,Spain,2300000.0,in,summer,Jupiler Pro League,2017,False,,mamadou sylla
KRC Genk,Marcus Ingvartsen,21.0,Denmark,Centre-Forward,CF,5500000.0,Nordsjaelland,Denmark,4950000.0,in,summer,Jupiler Pro League,2017,False,,marcus ingvartsen
KRC Genk,Ruslan Malinovskyi,24.0,Ukraine,Attacking Midfield,AM,10000000.0,Shakhtar D.,Ukraine,2000000.0,in,summer,Jupiler Pro League,2017,False,,ruslan malinovskyi
KRC Genk,Joakim Maehle,20.0,Denmark,Right-Back,RB,14000000.0,Aalborg BK,Denmark,1300000.0,in,summer,Jupiler Pro League,2017,False,,joakim maehle
KRC Genk,Benson Manuel,20.0,Belgium,Right Winger,RW,7000000.0,Lierse SK,Belgium,1250000.0,in,summer,Jupiler Pro League,2017,False,,benson manuel
KRC Genk,Joseph Aidoo,21.0,Ghana,Centre-Back,CB,6000000.0,Hammarby,Sweden,1250000.0,in,summer,Jupiler Pro League,2017,False,,joseph aidoo
KRC Genk,Ibrahima Seck,28.0,Senegal,Defensive Midfield,DM,,Waasl.-Beveren,Belgium,1000000.0,in,winter,Jupiler Pro League,2017,False,,ibrahima seck
KV Mechelen,Rob Schoofs,23.0,Belgium,Central Midfield,CM,2200000.0,KAA Gent,Belgium,1000000.0,in,summer,Jupiler Pro League,2017,False,,rob schoofs
KV Mechelen,Germán Mera,27.0,Colombia,Centre-Back,CB,,Club Brugge,Belgium,1000000.0,in,winter,Jupiler Pro League,2017,False,,german mera
KV Oostende,Zinho Gano,23.0,Guinea-Bissau,Centre-Forward,CF,1500000.0,Waasl.-Beveren,Belgium,2500000.0,in,summer,Jupiler Pro League,2017,False,,zinho gano
KV Oostende,Nicolas Lombaerts,32.0,Belgium,Centre-Back,CB,,Zenit S-Pb,Russia,1500000.0,in,summer,Jupiler Pro League,2017,False,,nicolas lombaerts
KV Oostende,Richairo Zivkovic,20.0,Curacao,Centre-Forward,CF,,Ajax,Netherlands,1200000.0,in,summer,Jupiler Pro League,2017,False,,richairo zivkovic
RSC Anderlecht,Sven Kums,29.0,Belgium,Central Midfield,CM,,Watford,England,6500000.0,in,summer,Jupiler Pro League,2017,False,,sven kums
RSC Anderlecht,Lukasz Teodorczyk,26.0,Poland,Centre-Forward,CF,,Dynamo Kyiv,Ukraine,4500000.0,in,summer,Jupiler Pro League,2017,False,,lukasz teodorczyk
RSC Anderlecht,Isaac Kiese Thelin,25.0,Sweden,Centre-Forward,CF,2200000.0,G. Bordeaux,France,2750000.0,in,summer,Jupiler Pro League,2017,False,,isaac kiese thelin
RSC Anderlecht,Josué Sá,25.0,Portugal,Centre-Back,CB,,Vit. Guimarães,Portugal,2200000.0,in,summer,Jupiler Pro League,2017,False,,josue sa
RSC Anderlecht,Pieter Gerkens,22.0,Belgium,Central Midfield,CM,2000000.0,Sint-Truiden,Belgium,1500000.0,in,summer,Jupiler Pro League,2017,False,,pieter gerkens
RSC Anderlecht,Ryota Morioka,26.0,Japan,Attacking Midfield,AM,,Waasl.-Beveren,Belgium,2500000.0,in,winter,Jupiler Pro League,2017,False,,ryota morioka
RSC Charleroi,Dodi Lukébakio,20.0,Belgium,Right Winger,RW,15000000.0,RSC Anderlecht,Belgium,2600000.0,in,winter,Jupiler Pro League,2017,False,,dodi lukebakio
